region,keyword,interest_score
Afghanistan,electric vehicle,2
Albania,electric vehicle,2
Algeria,electric vehicle,3
American Samoa,electric vehicle,0
Andorra,electric vehicle,0
Angola,electric vehicle,0
Anguilla,electric vehicle,0
Antarctica,electric vehicle,0
Antigua & Barbuda,electric vehicle,0
Argentina,electric vehicle,1
Armenia,electric vehicle,0
Aruba,electric vehicle,0
Australia,electric vehicle,3
Austria,electric vehicle,0
Azerbaijan,electric vehicle,0
Bahamas,electric vehicle,4
Bahrain,electric vehicle,3
Bangladesh,electric vehicle,4
Barbados,electric vehicle,8
Belarus,electric vehicle,0
Belgium,electric vehicle,0
Belize,electric vehicle,4
Benin,electric vehicle,0
Bermuda,electric vehicle,0
Bhutan,electric vehicle,11
Bolivia,electric vehicle,0
Bosnia & Herzegovina,electric vehicle,0
Botswana,electric vehicle,4
Bouvet Island,electric vehicle,0
Brazil,electric vehicle,1
British Indian Ocean Territory,electric vehicle,0
British Virgin Islands,electric vehicle,0
Brunei,electric vehicle,5
Bulgaria,electric vehicle,1
Burkina Faso,electric vehicle,0
Burundi,electric vehicle,0
Cambodia,electric vehicle,3
Cameroon,electric vehicle,1
Canada,electric vehicle,1
Cape Verde,electric vehicle,0
Caribbean Netherlands,electric vehicle,0
Cayman Islands,electric vehicle,0
Central African Republic,electric vehicle,0
Chad,electric vehicle,0
Chile,electric vehicle,0
China,electric vehicle,5
Christmas Island,electric vehicle,0
Cocos (Keeling) Islands,electric vehicle,0
Colombia,electric vehicle,1
Comoros,electric vehicle,0
Congo - Brazzaville,electric vehicle,0
Congo - Kinshasa,electric vehicle,0
Cook Islands,electric vehicle,0
Costa Rica,electric vehicle,1
Croatia,electric vehicle,0
Cuba,electric vehicle,0
Curaçao,electric vehicle,0
Cyprus,electric vehicle,1
Czechia,electric vehicle,0
Côte d’Ivoire,electric vehicle,0
Denmark,electric vehicle,0
Djibouti,electric vehicle,0
Dominica,electric vehicle,0
Dominican Republic,electric vehicle,1
Ecuador,electric vehicle,1
Egypt,electric vehicle,4
El Salvador,electric vehicle,0
Equatorial Guinea,electric vehicle,0
Eritrea,electric vehicle,0
Estonia,electric vehicle,1
Eswatini,electric vehicle,0
Ethiopia,electric vehicle,14
Falkland Islands (Islas Malvinas),electric vehicle,0
Faroe Islands,electric vehicle,0
Fiji,electric vehicle,9
Finland,electric vehicle,0
France,electric vehicle,0
French Guiana,electric vehicle,0
French Polynesia,electric vehicle,0
French Southern Territories,electric vehicle,0
Gabon,electric vehicle,0
Gambia,electric vehicle,0
Georgia,electric vehicle,0
Germany,electric vehicle,0
Ghana,electric vehicle,4
Gibraltar,electric vehicle,0
Greece,electric vehicle,0
Greenland,electric vehicle,0
Grenada,electric vehicle,9
Guadeloupe,electric vehicle,0
Guam,electric vehicle,0
Guatemala,electric vehicle,0
Guernsey,electric vehicle,4
Guinea,electric vehicle,0
Guinea-Bissau,electric vehicle,0
Guyana,electric vehicle,5
Haiti,electric vehicle,0
Heard & McDonald Islands,electric vehicle,0
Honduras,electric vehicle,0
Hong Kong,electric vehicle,1
Hungary,electric vehicle,0
Iceland,electric vehicle,0
India,electric vehicle,16
Indonesia,electric vehicle,3
Iran,electric vehicle,6
Iraq,electric vehicle,3
Ireland,electric vehicle,3
Isle of Man,electric vehicle,5
Israel,electric vehicle,0
Italy,electric vehicle,0
Jamaica,electric vehicle,5
Japan,electric vehicle,5
Jersey,electric vehicle,3
Jordan,electric vehicle,2
Kazakhstan,electric vehicle,1
Kenya,electric vehicle,7
Kiribati,electric vehicle,100
Kosovo,electric vehicle,0
Kuwait,electric vehicle,2
Kyrgyzstan,electric vehicle,0
Laos,electric vehicle,6
Latvia,electric vehicle,1
Lebanon,electric vehicle,2
Lesotho,electric vehicle,0
Liberia,electric vehicle,0
Libya,electric vehicle,2
Liechtenstein,electric vehicle,0
Lithuania,electric vehicle,0
Luxembourg,electric vehicle,0
Macao,electric vehicle,1
Madagascar,electric vehicle,0
Malawi,electric vehicle,8
Malaysia,electric vehicle,3
Maldives,electric vehicle,3
Mali,electric vehicle,0
Malta,electric vehicle,5
Marshall Islands,electric vehicle,0
Martinique,electric vehicle,0
Mauritania,electric vehicle,0
Mauritius,electric vehicle,4
Mayotte,electric vehicle,0
Mexico,electric vehicle,0
Micronesia,electric vehicle,0
Moldova,electric vehicle,0
Monaco,electric vehicle,0
Mongolia,electric vehicle,1
Montenegro,electric vehicle,0
Montserrat,electric vehicle,0
Morocco,electric vehicle,2
Mozambique,electric vehicle,0
Myanmar (Burma),electric vehicle,6
Namibia,electric vehicle,4
Nauru,electric vehicle,0
Nepal,electric vehicle,7
Netherlands,electric vehicle,0
New Caledonia,electric vehicle,0
New Zealand,electric vehicle,2
Nicaragua,electric vehicle,0
Niger,electric vehicle,0
Nigeria,electric vehicle,3
Niue,electric vehicle,0
Norfolk Island,electric vehicle,0
North Korea,electric vehicle,0
North Macedonia,electric vehicle,1
Northern Mariana Islands,electric vehicle,0
Norway,electric vehicle,0
Oman,electric vehicle,3
Pakistan,electric vehicle,4
Palau,electric vehicle,0
Palestine,electric vehicle,3
Panama,electric vehicle,0
Papua New Guinea,electric vehicle,4
Paraguay,electric vehicle,0
Peru,electric vehicle,1
Philippines,electric vehicle,6
Pitcairn Islands,electric vehicle,0
Poland,electric vehicle,0
Portugal,electric vehicle,0
Puerto Rico,electric vehicle,1
Qatar,electric vehicle,2
Romania,electric vehicle,1
Russia,electric vehicle,5
Rwanda,electric vehicle,7
Réunion,electric vehicle,0
Samoa,electric vehicle,0
San Marino,electric vehicle,0
Saudi Arabia,electric vehicle,4
Senegal,electric vehicle,0
Serbia,electric vehicle,0
Seychelles,electric vehicle,0
Sierra Leone,electric vehicle,0
Singapore,electric vehicle,2
Sint Maarten,electric vehicle,0
Slovakia,electric vehicle,0
Slovenia,electric vehicle,0
Solomon Islands,electric vehicle,0
Somalia,electric vehicle,0
South Africa,electric vehicle,4
South Georgia & South Sandwich Islands,electric vehicle,0
South Korea,electric vehicle,8
South Sudan,electric vehicle,0
Spain,electric vehicle,0
Sri Lanka,electric vehicle,6
St. Barthélemy,electric vehicle,0
St. Helena,electric vehicle,6
St. Kitts & Nevis,electric vehicle,0
St. Lucia,electric vehicle,0
St. Martin,electric vehicle,0
St. Pierre & Miquelon,electric vehicle,0
St. Vincent & Grenadines,electric vehicle,0
Sudan,electric vehicle,0
Suriname,electric vehicle,0
Svalbard & Jan Mayen,electric vehicle,0
Sweden,electric vehicle,0
Switzerland,electric vehicle,0
Syria,electric vehicle,4
São Tomé & Príncipe,electric vehicle,0
Taiwan,electric vehicle,2
Tajikistan,electric vehicle,0
Tanzania,electric vehicle,2
Thailand,electric vehicle,1
Timor-Leste,electric vehicle,0
Togo,electric vehicle,0
Tokelau,electric vehicle,0
Tonga,electric vehicle,0
Trinidad & Tobago,electric vehicle,7
Tunisia,electric vehicle,0
Turkmenistan,electric vehicle,0
Turks & Caicos Islands,electric vehicle,0
Tuvalu,electric vehicle,0
Türkiye,electric vehicle,0
U.S. Outlying Islands,electric vehicle,0
U.S. Virgin Islands,electric vehicle,0
Uganda,electric vehicle,6
Ukraine,electric vehicle,1
United Arab Emirates,electric vehicle,1
United Kingdom,electric vehicle,3
United States,electric vehicle,2
Uruguay,electric vehicle,0
Uzbekistan,electric vehicle,2
Vanuatu,electric vehicle,0
Vatican City,electric vehicle,0
Venezuela,electric vehicle,0
Vietnam,electric vehicle,4
Wallis & Futuna,electric vehicle,0
Western Sahara,electric vehicle,0
Yemen,electric vehicle,0
Zambia,electric vehicle,7
Zimbabwe,electric vehicle,5
Åland Islands,electric vehicle,0
Afghanistan,tesla,98
Albania,tesla,97
Algeria,tesla,97
American Samoa,tesla,100
Andorra,tesla,100
Angola,tesla,100
Anguilla,tesla,0
Antarctica,tesla,0
Antigua & Barbuda,tesla,100
Argentina,tesla,99
Armenia,tesla,99
Aruba,tesla,100
Australia,tesla,93
Austria,tesla,100
Azerbaijan,tesla,99
Bahamas,tesla,94
Bahrain,tesla,95
Bangladesh,tesla,95
Barbados,tesla,89
Belarus,tesla,99
Belgium,tesla,99
Belize,tesla,96
Benin,tesla,100
Bermuda,tesla,100
Bhutan,tesla,80
Bolivia,tesla,100
Bosnia & Herzegovina,tesla,100
Botswana,tesla,96
Bouvet Island,tesla,0
Brazil,tesla,99
British Indian Ocean Territory,tesla,0
British Virgin Islands,tesla,100
Brunei,tesla,91
Bulgaria,tesla,97
Burkina Faso,tesla,100
Burundi,tesla,100
Cambodia,tesla,95
Cameroon,tesla,99
Canada,tesla,97
Cape Verde,tesla,100
Caribbean Netherlands,tesla,100
Cayman Islands,tesla,100
Central African Republic,tesla,100
Chad,tesla,100
Chile,tesla,100
China,tesla,92
Christmas Island,tesla,0
Cocos (Keeling) Islands,tesla,0
Colombia,tesla,99
Comoros,tesla,100
Congo - Brazzaville,tesla,100
Congo - Kinshasa,tesla,100
Cook Islands,tesla,100
Costa Rica,tesla,98
Croatia,tesla,99
Cuba,tesla,100
Curaçao,tesla,100
Cyprus,tesla,97
Czechia,tesla,100
Côte d’Ivoire,tesla,100
Denmark,tesla,100
Djibouti,tesla,100
Dominica,tesla,100
Dominican Republic,tesla,99
Ecuador,tesla,99
Egypt,tesla,93
El Salvador,tesla,100
Equatorial Guinea,tesla,100
Eritrea,tesla,100
Estonia,tesla,98
Eswatini,tesla,100
Ethiopia,tesla,82
Falkland Islands (Islas Malvinas),tesla,0
Faroe Islands,tesla,100
Fiji,tesla,91
Finland,tesla,99
France,tesla,100
French Guiana,tesla,100
French Polynesia,tesla,100
French Southern Territories,tesla,0
Gabon,tesla,100
Gambia,tesla,100
Georgia,tesla,99
Germany,tesla,100
Ghana,tesla,95
Gibraltar,tesla,90
Greece,tesla,99
Greenland,tesla,100
Grenada,tesla,91
Guadeloupe,tesla,100
Guam,tesla,100
Guatemala,tesla,100
Guernsey,tesla,96
Guinea,tesla,100
Guinea-Bissau,tesla,100
Guyana,tesla,95
Haiti,tesla,100
Heard & McDonald Islands,tesla,0
Honduras,tesla,100
Hong Kong,tesla,97
Hungary,tesla,100
Iceland,tesla,99
India,tesla,74
Indonesia,tesla,95
Iran,tesla,93
Iraq,tesla,95
Ireland,tesla,90
Isle of Man,tesla,90
Israel,tesla,99
Italy,tesla,100
Jamaica,tesla,93
Japan,tesla,93
Jersey,tesla,88
Jordan,tesla,96
Kazakhstan,tesla,98
Kenya,tesla,91
Kiribati,tesla,0
Kosovo,tesla,100
Kuwait,tesla,96
Kyrgyzstan,tesla,100
Laos,tesla,87
Latvia,tesla,98
Lebanon,tesla,96
Lesotho,tesla,100
Liberia,tesla,100
Libya,tesla,98
Liechtenstein,tesla,100
Lithuania,tesla,99
Luxembourg,tesla,99
Macao,tesla,98
Madagascar,tesla,100
Malawi,tesla,92
Malaysia,tesla,92
Maldives,tesla,97
Mali,tesla,100
Malta,tesla,91
Marshall Islands,tesla,100
Martinique,tesla,100
Mauritania,tesla,100
Mauritius,tesla,92
Mayotte,tesla,100
Mexico,tesla,100
Micronesia,tesla,100
Moldova,tesla,99
Monaco,tesla,0
Mongolia,tesla,99
Montenegro,tesla,100
Montserrat,tesla,0
Morocco,tesla,98
Mozambique,tesla,100
Myanmar (Burma),tesla,88
Namibia,tesla,96
Nauru,tesla,0
